2024-09-21 15:22:48.356 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2024-09-21 15:22:48.403 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 20 ms. Found 0 Redis repository interfaces.
2024-09-21 15:22:51.012 [main] INFO  c.z.z.ZealsingerbookAuthApplicationTests - Started ZealsingerbookAuthApplicationTests in 3.983 seconds (process running for 4.842)
2024-09-21 15:22:51.695 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-0} closing ...
2024-09-21 15:24:06.269 [main] INFO  c.z.z.ZealsingerbookAuthApplicationTests - Starting ZealsingerbookAuthApplicationTests using Java 17.0.5 with PID 11452 (started by John in D:\ZhuoMian\bigThree\Netty相关资料\ZealSingerBook-test\zealsingerbook-auth)
2024-09-21 15:24:06.273 [main] INFO  c.z.z.ZealsingerbookAuthApplicationTests - The following 1 profile is active: "dev"
2024-09-21 15:24:07.127 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2024-09-21 15:24:07.130 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2024-09-21 15:24:07.182 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 19 ms. Found 0 Redis repository interfaces.
2024-09-21 15:24:09.698 [main] INFO  c.z.z.ZealsingerbookAuthApplicationTests - Started ZealsingerbookAuthApplicationTests in 3.963 seconds (process running for 4.813)
2024-09-21 15:24:10.366 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-0} closing ...
2024-09-21 16:19:43.932 [main] INFO  c.z.z.ZealsingerbookAuthApplicationTests - Starting ZealsingerbookAuthApplicationTests using Java 17.0.5 with PID 22540 (started by John in D:\ZhuoMian\bigThree\Netty相关资料\ZealSingerBook-test\zealsingerbook-auth)
2024-09-21 16:19:43.934 [main] INFO  c.z.z.ZealsingerbookAuthApplicationTests - The following 1 profile is active: "dev"
2024-09-21 16:19:44.678 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2024-09-21 16:19:44.682 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2024-09-21 16:19:44.727 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 17 ms. Found 0 Redis repository interfaces.
2024-09-21 16:19:47.068 [main] INFO  c.z.z.ZealsingerbookAuthApplicationTests - Started ZealsingerbookAuthApplicationTests in 3.743 seconds (process running for 5.708)
2024-09-21 16:19:47.087 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-0} closing ...
